Item ID,Item Name,Item Number
item-1707,Gr G11 Neural Upgrade Icon,1
item-1709,RO635 Neural Upgrade Icon,1
item-1710,Type 97S Neural Upgrade Icon,1
item-1716,Ouroboros Icon,1
item-1717,Ripper SWAP Icon,1
item-1726,Guard SWAP Icon,1
item-1727,Alchemist Icon,1
item-1731,Jaguar Icon,1
item-1732,Vespid SWAP Icon,1
item-1733,Dreamer Icon,1
item-1741,Icon: Silent Farewell,1
item-1742,Icon: Life of Deception,1
item-1743,ID: Curtain Call,1
item-1744,The Witch's Plan,1
item-1745,Prowler SWAP Icon,1
item-1746,Goliath Factory Icon,1
item-1747,Gager Icon,1
item-1758,Icon: Original Sin - Leviathan,1
item-1759,Icon: Original Sin - Samael,1
item-1760,Icon: "The Commander is at Griffin",1
item-1761,Icon: Agent "Dima",1
item-1762,ID: Last Gaming,1
item-1763,ID: City of Tomorrow,1
item-1764,ID: First Light,1
item-1765,ID: Cold Shelter,1
item-1766,Background: Safe House,1
item-1767,Galil Neural Upgrade Icon,1
item-1770,Icon: Spring,1
item-1771,Icon: Summer,1
item-1772,Icon: Fall,1
item-1773,Icon: Winter,1
item-1774,ID: Work Checklist,1
item-1776,ID: Girls by the Hearth,1
item-1777,Judge Icon,1
item-1778,Jaguar Icon - HD,1
item-1779,Dragoon SWAP Icon,1
item-1798,Agent Icon,1
item-1799,Dinergate Icon - HD,1
item-1800,Striker SWAP Icon,1
item-1802,Welrod MkII Neural Upgrade Icon,1
item-1804,Type 80 Neural Upgrade Icon,1
item-1806,Icon: Sunderer,1
item-1807,Icon: Weaver of Fate,1
item-1808,Icon: Agent "U",1
item-1809,Icon: Lone Shadow,1
item-1810,Icon: Hidden Edge,1
item-1811,Icon: Ephemeral Dream,1
item-1812,Icon: Worldliness,1
item-1813,ID: Gentle Morning Light,1
item-1814,ID: Advent,1
item-1815,ID: Ashes,1
item-1816,ID: Dark Dreams,1
item-1817,ID: Elusive Truth,1
item-1818,ID: Revealed Dagger,1
item-1819,Background: Phantasmic Dreamscape,1
item-1820,Background: Whispering Wind,1
item-1821,Background: Peaceful Afternoon,1
item-1822,Background: Hall of Vultures,1
item-1823,Adeline Icon,1
item-1835,Prowler Icon - HD,1
item-1844,ID: Spring Carnival,1
item-1855,Alina Icon,1
item-1856,Tarantula Icon – HD,1
item-1857,Rain of Bullets – Borderland,1
item-1860,ID: Fragments of Precious Treasures,1
item-1861,Makarov Neural Upgrade Icon,1
item-1862,Gr MG4 Neural Upgrade Icon,1
item-1863,RMB-93 Neural Upgrade Icon,1
item-1865,Manticore Icon – HD,1
item-1869,Breeze on a Spring Day,1
item-1887,ID: Breaking Dawn,1
item-1889,Icon: Waves Wrangler,1
item-1890,Icon: In Oceans Deep,1
item-1891,Icon: Best Actress,1
item-1900,ID: In Light and Shadow,1
item-1906,Icon: Scry Thy Heart,1
item-1907,Icon: Taste the Warmth,1
item-1908,Icon: Memory of a Friend,1
item-1909,Icon: Sigh of Nostalgia,1
item-1910,Icon: Toil for Tomorrow,1
item-1911,Icon: Call of the Devil,1
item-1912,Icon: Mourning ★ Tears,1
item-1913,Icon: Demon Overlord ☆ Mind's Eye,1
item-1914,ID: Cozy Tatami,1
item-1915,Background: Birthplace of Dreams,1
item-1916,Background: Promised Dream Hotel,1
item-1922,Prowler SWAP Icon – HD,1
item-1930,Architect - Type NVW Icon,1
item-1941,Icon: Valiant Knight,1
item-1942,Icon: Wild Hunt,1
item-1943,Icon: Messenger of Loss,1
item-1944,Icon: Moth on a Leaf,1
item-1945,Icon: Betrayal of Righteousness,1
item-1946,Icon: Each Searching A Corner,1
item-1947,Icon: Rainy Night Whisky,1
item-1948,ID Card: Through The Fire And The Flames,1
item-1949,ID Card: The Storm Comes,1
item-1950,ID Card: Fireworks Night,1
item-1951,ID Card: Fatal Bullet,1
item-1952,ID Card: Bloodstained Rider,1
item-1953,ID Card: Moment of Conclusion,1
item-1954,Background: Lazy Afternoon,1
item-1969,Ribeyrolles Neural Upgrade Icon,1
item-1986,Desert Dragons and Epics,1
item-1987,Intruder - Witch of the End Icon,1
item-1988,Jaeger SWAP Icon,1
item-1990,Icon: Pink Eye of Enthrallment,1
item-1991,Icon: Purple Night of Rapture,1
item-1992,ID card: Maelstrom of Pink and Purple,1
item-2000,Tiger Cubs of Prosperity,1
item-2013,Icon: Birth of Starlight,1
item-2014,Icon: Raise a Glass in Joyful Song,1
item-2015,Icon: Walking in Solitude,1
item-2016,Icon: Best Partner,2
item-2017,Icon: Setting Sail,1
item-2018,Icon: Friend of Pure Loyalty,1
item-2019,ID: Screen Breakers,1
item-2020,PPSh-41 Neural Upgrade Icon,1
item-2021,AN-94 Neural Upgrade Icon,1
item-2023,AK-15 Neural Upgrade Icon,1
item-2025,Destroyer - Fleeting Reindeer Icon,1
item-2026,Gingerbread Guard Icon,1
item-2028,Icon: Clandestine Sniping,1
item-2029,Icon: All-Sugar Cake,1
item-2030,Icon: Celebrate With A Toast,1
item-2031,Icon: Wordless Observation,1
item-2032,Icon: Blade Dancer,1
item-2033,Icon: Doomsday Simulation,1
item-2034,Icon: Holding Out In Adversity,1
item-2035,ID Card: Treachery and Loyalty,1
item-2036,ID Card: Where My Heart Is At Ease,1
item-2037,ID Card: Final Shot,1
item-2038,ID Card: Operation Aeneas Mission Briefing,1
item-2039,Background: Dawn In Avernus,1
item-2059,Icon: Language of Flowers,1
item-2060,Icon: Where Eyes Point,1
item-2061,Icon: Chocolate For Her,1
item-2062,ID Card: Nighttime Cocoa Fragrance,1
item-2063,Hunter - Nightfall Moth Icon,1
item-2074,ID: A Promise of Four Years,1
item-2075,PPK Neural Upgrade Icon,1
item-2076,MG3 Neural Upgrade Icon,1
item-2079,Cerberus Icon,1
item-2087,Sips in the Whispering Wind,1
item-2089,ID: Party All Night Long,1
item-2109,Alina - Mosasaur Rider Icon,1
item-2110,Jaws Paradise Icon,1
item-2111,Icon: First Ever Lycan Tour!,1
item-2112,Icon: Overheat!,1
item-2113,Icon: No-Melt Snowball,1
item-2114,ID: Memories on a Glistening Night,1
item-2115,Background: Night Market,1
item-2124,ID: Mirror Stage,1
item-2126,Type 92 Neural Upgrade Icon,1
item-2127,Kar98k Neural Upgrade Icon,3
item-2129,Type 56-1 Neural Upgrade Icon,1
item-2140,Breeze in a Summer Afternoon,1
item-2142,The Sky is the Limit,1
item-2144,Icon: Sincere Concern,1
item-2145,Icon: Desperate Gambler,1
item-2146,Icon: Cornered Beasts,1
item-2147,Icon: Goodbye  Fledgling,1
item-2148,Icon: Pine Ashes,1
item-2149,Icon: Burning Fields,1
item-2150,Icon: Determination at Dawn,1
item-2151,ID: Undercurrent in the Carriage,1
item-2152,ID: Treacherous Journey,1
item-2153,ID: End of the Long Night,1
item-2154,ID: Memory of the End,1
item-2155,ID: Hope of Survival,1
item-2156,Background: Intercontinental Railway "Future",1
item-2174,ID: Power Struggle,1
item-2182,Executioner - Blood Fiend Huntress Icon,1
item-2194,Icon: Gag Genius,1
item-2195,Icon: Glory of the Sun,1
item-2196,Icon: Forbidden Depths of the Moon,1
item-2197,Icon: Charging...,1
item-2198,Icon: Superb Writer,1
item-2199,Icon: Paycheck to Paycheck,1
item-2200,Icon: White Angel,1
item-2201,Icon: Daybreak Guardian,1
item-2202,ID: Scales of Destiny,1
item-2203,ID: Neon Twilight,1
item-2204,Background: Metropolitan Parade,1
item-2212,Velvet Shortcake,1
item-2213,Tareus Icon,1
item-2224,ID: Fixed Point,1
item-2235,Scarecrow - Demonic Abyss Icon,1
item-2243,Icon: Change Your Destiny,1
item-2244,Icon: Spirit Singing of the Past,1
item-2245,Icon: Awaken  Dream Chaser,1
item-2246,Icon: Shout Out Your Dream,1
item-2247,Icon: Begone  Fetters!,1
item-2248,Icon: Laugh and I'll Kill You!,1
item-2249,Icon: To My Beloved,1
item-2250,Icon: My Humble Wish,1
item-2251,Icon: Woof! Arf! Ruff!,1
item-2252,Icon: Dried! Shredded! Squid!,1
item-2253,Icon: Please Keep Your Eyes on Me,1
item-2254,ID: Crying Out Love from 2 000 Feet Away,1
item-2255,ID: Chorus Under the Spotlight,1
item-2256,ID: The Enduring Legend in the Mansion,1
item-2257,ID: May the Show Never End!,1
item-2258,Background: Sunny Weather  Perfect for a Bath,1
item-2259,Background: Midnight,1
item-2260,A Peaceful Afternoon with the Dogs,1
item-2273,M1919A4 Neural Upgrade Icon,1
item-2274,K5 Neural Upgrade Icon,1
item-2276,DP-12 Neural Upgrade Icon,1
item-2286,ID Card: Wonderful Date,1
item-2287,Icon: Figure in the Mirror,1
item-2288,Icon: Baldr's Return,1
item-2289,Icon: Into Darkness,1
item-2290,Icon: The Fall of Kepler-78b,1
item-2291,Icon: Story Thief,1
item-2292,Icon: Character in a Story,1
item-2293,Icon: Hodur's Return,1
item-2294,Icon: Walking Against the Light,1
item-2295,ID: Oath of Honor,1
item-2296,ID: Endless Song,1
item-2297,ID: Silent Port of Spirits,1
item-2298,ID: Dawn is Nigh,1
item-2299,Background: Phonograph Museum,1
item-2303,Icon: Tipsy Tenderness,1
item-2304,ID: Vigil of the Castle of Time,1
item-2314,PA-15 Icon,1
item-2315,ID: Blues Rhapsody,1
item-2317,Haze in the Mountains,1
item-2321,ID Card: Childhood Tales of Summer Flowers,1
item-2322,Sana Icon,1
item-2329,Icon: MK3A1,1
item-2330,ID Card: Wrench Wench,1
item-2341,416 Icon,1
item-2342,ID: Mystery of Sekt,1
item-2355,Salary Wizard,1
item-2356,Detective's Sidekick,1
item-2360,AUG Icon,1
item-2361,ID: Pure White Courage,1
item-2370,WA2000 Icon,1
item-2371,ID: Code 47,1
item-2372,Narciss Icon,1
item-2381,When the Ravens Cry,1
item-2382,Lee Enfield Icon,1
item-2383,ID: Salute in Red Coat,1
item-2389,Owl Latte,1
item-2393,Tailfeather Maiden,1
item-2396,Dreamer - Moonlit Sentinel Icon,1
item-2397,NTW-20 Icon,1
item-2398,ID: Hunting Banquet,1
item-2405,Wreath of Purity,1
item-2408,A-545 Icon,1
item-2409,ID: Bacchanalia,1
item-2414,Toshigami's Divine Messenger,1
item-2417,Icon: Melancholic Vigil,1
item-2418,Icon: Into the Pink Vortex,1
item-2419,Icon: Bonds and Connections,1
item-2420,Icon: The Knight's Charge,1
item-2421,Icon: Watching the Sun Go Down,1
item-2422,Icon: Late-Night Drink With Cherry Blossoms,1
item-2423,ID: Shining Long Night,1
item-2424,ID: Stinging Truth,1
item-2425,ID: End of the World,1
item-2426,ID: Cold Wonderland,1
item-2427,Background: Tachikoma's Daily Life,1
item-2431,EM-2 Neural Upgrade Icon,1
item-2432,VHS Icon,1
item-2433,ID: Cool Girls Don't Look at Explosions!,1
item-2440,Auspicious Prosperity,1
item-2453,ID: Dream Baker,1
item-2464,Dance of Light and Shadows,1
item-2465,Titine Finding Her Way,1
item-2466,Type79 Neural Upgrade Icon,1
item-2475,Crow-Expelling Dark Sorceress,1
item-2476,Icon: Keeper of the Keys,1
item-2477,Icon: A Gaze Frozen in Time,1
item-2478,Icon: Metamorphosis,1
item-2479,ID: A Letter from Erma,1
item-2480,ID: Up the Stairway to the World,1
item-2481,ID: Ascension,1
item-2482,Background: Private Cell,1
item-2495,Break from the Banquet,1
item-2502,Rex Zero 1 Neural Upgrade Icon,1
item-2509,Historian of Thievery,1
item-2510,Icon: Key of Awakening,1
item-2511,Icon: Glimpse of the Lone Wolf,1
item-2512,Icon: Leader of the Pack,1
item-2513,ID: Lost Path,1
item-2514,ID: Reversing Time,1
item-2515,ID: Heretic Clock Tower,1
item-2516,ID: Butterfly Wings and the Prisoner,1
item-2517,Background: Maze of Forking Paths,1
item-2518,Background: Above the Vortex  Below the Abyss,1
item-2519,Background: Dismembered Void,1
item-2525,Icon: Rebellious Aedos,1
item-2526,Icon: Perseus' Mission,1
item-2527,Icon: Mephisopheles' Radiance,1
item-2528,ID: Eiserner Steg,1
item-2529,ID: Silent Night on the Main,1
item-2530,AK-12 Neural Upgrade Icon,1
item-2531,Background: Refuge of Civilization,1
item-2532,Background: Alte Oper,1
item-2533,Samo is Not a Spy,1
item-2548,Feline Smasher,1
item-2549,Icon: Long Time No See,1
item-2550,Icon: Unspoken,1
item-2551,Icon: Tempered Will,1
item-2552,ID: Unreachable,1
item-2553,ID: Close to the Sky,1
item-2554,Background: Twilight Echo,1
item-2555,Background: Immaculate Grace,1
item-2556,Gager - VWV Model Icon,1
item-2570,Bloody Brambles,1
item-2571,Whispers of Pan,1
item-2574,I  am Chaos,1
item-2575,Netherworld Spider Lily,1
item-2576,Icon: Karmic Puppetmaker,1
item-2577,Icon: Absolved Doctor,1
item-2578,ID: Heavier than a Mountain  Lighter than a Feather,1
item-2579,ID: The Makarov and the Angel,1
item-2580,Background: Morning Stroll on a Snowy Path,1
item-2581,Background: Chiaroscuro Afternoon,1
item-2582,Icon: Gray Icon,1
item-2590,Beluga Icon,1
item-2591,Icon: Wandering Blade,1
item-2592,Icon: Always With You,1
item-2593,Icon: Climber,1
item-2594,Icon: A Trial,1
item-2595,Icon: Foreign Visitor,1
item-2596,ID: Barrage of Chaos,1
item-2597,ID: Gold Label 16,1
item-2598,Background: Lonely Silver Moon,1
item-2607,Phantom of Black Water,1
item-2610,Icon: When I Turn My Head,1
item-2611,Icon: Where Lantern Light is Dimly Shed,1
item-2612,Icon: She Prays Silently,1
item-2613,Icon: By Your Side  With Hope,1
